idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
244,-114.6275,35.13498,0.15927,0.74172,0.57219,0.7422,0.9594,0.96053,0.55211,0.09426,0.41742,0.2193,0.03336,0.99572,0.49716,0.47892
2407,-114.91886,35.46399,0.62799,0.0,0.0,0.94626,0.0,0.82689,0.16512,0.60227,0.51273,0.06562,1.0,0.0,0.47501,0.50723
6443,-115.61942,35.81101,0.04571,0.79035,0.18393,0.23694,0.0,0.06007,0.20799,0.38262,0.38498,0.08976,0.80044,0.42908,0.39849,0.4251
8781,-115.12116,35.94262,0.85287,0.0,0.8551,0.06422,0.0,0.16193,0.1463,0.24606,0.05584,0.14093,0.18738,0.71277,0.21314,0.21301
9041,-115.09428,35.95669,0.58494,0.0,0.0,0.47448,0.43554,0.92988,0.03318,0.32814,0.35372,0.00781,1.0,0.0,0.45381,0.47533
9416,-115.15593,35.97911,0.98262,0.9029,0.60118,0.07348,0.97773,0.21991,0.59611,0.39943,0.65693,0.93888,0.44444,0.95123,0.51,0.48524
9453,-114.82784,35.97453,0.44527,0.77158,0.50675,0.61144,0.8134,0.64789,0.09055,0.00249,0.59201,0.47396,0.77608,0.48959,0.54193,0.53727
9538,-115.19127,35.98676,0.73971,0.86108,0.49133,0.2492,0.69683,0.47304,0.43178,0.52914,0.0754,0.2262,0.64034,0.9714,0.49273,0.49759
9657,-115.25323,35.99472,0.60751,0.89098,0.79227,0.34927,0.0,0.11238,0.40851,0.42554,0.09426,0.22707,0.61943,0.99926,0.45498,0.47253
9662,-115.20888,35.99419,0.62567,0.9029,0.58083,0.35329,0.75272,0.20511,0.46204,0.33722,0.00498,0.32286,0.39467,0.99904,0.47202,0.46237
9673,-115.11131,35.99296,0.86614,0.96241,0.25366,0.78546,0.72251,0.4998,0.19777,0.26619,0.49592,0.431,0.18048,0.74979,0.45267,0.44698
