idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
338,-114.5743,35.1557,0.99149,0.99594,0.18795,0.80196,0.89649,0.99738,0.28265,0.29635,0.86745,0.32805,0.0344,0.27802,0.48337,0.47733
404,-114.57393,35.17011,0.99149,0.89085,0.0,0.80196,0.89649,0.99738,0.28265,0.29635,0.86745,0.32805,1.0,0.0,0.62842,0.63894
1074,-114.87847,35.29757,0.62799,0.0,0.18594,0.94626,0.0,0.82689,0.16512,0.60227,0.51273,0.06562,0.46278,0.22807,0.38252,0.3982
3852,-115.38358,35.61404,0.62799,0.87859,0.0,0.94626,0.0,0.82689,0.16512,0.60227,0.51273,0.06562,1.0,0.0,0.5409,0.5863
6047,-115.31899,35.77917,0.62799,0.89862,0.0,0.94626,0.0,0.82689,0.16512,0.60227,0.51273,0.06562,1.0,0.0,0.5424,0.58811
6907,-115.44196,35.83817,0.04571,0.0,0.0,0.23694,0.0,0.06007,0.20799,0.38262,0.38498,0.08976,1.0,0.0,0.36252,0.38545
15708,-115.64909,36.25829,0.59563,0.94377,0.18437,0.12984,0.99489,0.58293,0.41773,0.41847,0.44073,0.53822,0.13028,0.55032,0.40614,0.39281
15710,-115.63129,36.25814,0.59563,0.80432,0.32194,0.12984,0.99489,0.58293,0.41773,0.41847,0.44073,0.53822,0.12988,0.22209,0.39044,0.37738
16133,-115.58658,36.27217,0.59563,0.94377,0.18437,0.12984,0.99489,0.58293,0.41773,0.41847,0.44073,0.53822,0.13028,0.55032,0.40614,0.39281
20296,-115.73622,36.41762,0.59563,0.0,0.18677,0.12984,0.99489,0.58293,0.41773,0.41847,0.44073,0.53822,0.12988,0.18616,0.31705,0.29219
